,Left,Right,Conf,Lift,ChiSquared,AllConf,Kulc,IR
893,中国大学 组织机构 ,学校 外国大学 ,0.0013368983957219253,0.031173928770444528,171.9031732516766,0.0013368983957219253,0.0015825259803106885,0.1553323029366306
894,中国大学 组织机构 ,人物 美术家 ,0.0,0.0,179.77165927417994,0.0,0.0,0.13850837138508368
895,中国大学 组织机构 ,音乐 单曲 ,0.0,0.0,162.19185797646116,0.0,0.0,0.19488817891373797
896,中国大学 组织机构 ,flash游戏 游戏作品 ,0.0,0.0,158.05367630200942,0.0,0.0,0.2093775262732417
897,中国大学 组织机构 ,flash游戏 游戏 ,0.0,0.0,158.05367630200942,0.0,0.0,0.2093775262732417
898,中国大学 组织机构 ,组织机构 外国大学 ,0.0013368983957219253,0.03324003711000615,162.3109413743554,0.0013368983957219253,0.001643108067256674,0.18650793650793648
899,中国大学 组织机构 ,音乐作品 单曲 ,0.0,0.0,157.5052821119536,0.0,0.0,0.2113360323886639
900,中国大学 组织机构 ,电子游戏 flash游戏 ,0.0,0.0,153.4174852180753,0.0,0.0,0.22622950819672125
901,中国大学 组织机构 ,医生 中医 ,0.0,0.0,134.15274649057497,0.0,0.0,0.30427201394943326
902,中国大学 组织机构 ,足球运动员 体育人物 ,0.0,0.0,155.5921223821067,0.0,0.0,0.21824104234527686
903,中国大学 组织机构 ,人物 学者 ,0.0,0.0,142.9960570868637,0.0,0.0,0.26672311600338694
904,中国大学 组织机构 ,学者 科学家 ,0.0,0.0,143.52325195989562,0.0,0.0,0.26458157227387996
905,中国大学 组织机构 ,人物 官员 ,0.0,0.0,143.52325195989562,0.0,0.0,0.26458157227387996
906,体育人物 运动员 ,学校 组织机构 ,0.0,0.0,405.39649488066914,0.0,0.0,0.28717948717948716
907,体育人物 运动员 ,公司 组织 ,0.0,0.0,251.16049908487872,0.0,0.0,0.09915748541801683
908,体育人物 运动员 ,学校 中国大学 ,0.0,0.0,275.05429181007736,0.0,0.0,0.13825170489770608
909,体育人物 运动员 ,人物 政治人物 ,0.0014388489208633094,0.021265953633385293,253.686507084548,0.0011587485515643105,0.0012987987362138098,0.10789980732177268
910,体育人物 运动员 ,人物 科学家 ,0.0,0.0,229.91431523610376,0.0,0.0,0.059539918809201633
